epoch,losses
75,"{'adv_total': 0.1671653795056045, 'adv_toward': 0.16263999044895172, 'adv_away': 0.004525389056652784, 'def_total': 12.90606439113617, 'def_toward': 7.142020225524902, 'def_away': 4.349013328552246, 'def_sft': 1.415030837059021}"
76,"{'adv_total': 0.5436072498559952, 'adv_toward': 0.4681451618671417, 'adv_away': 0.07546208798885345, 'def_total': 7.239304423332214, 'def_toward': 3.6862025260925293, 'def_away': 2.8351597785949707, 'def_sft': 0.7179421186447144}"
77,"{'adv_total': 0.8407989963889122, 'adv_toward': 0.7560973167419434, 'adv_away': 0.08470167964696884, 'def_total': 8.607082486152649, 'def_toward': 5.584174633026123, 'def_away': 1.556469440460205, 'def_sft': 1.4664384126663208}"
78,"{'adv_total': 1.1715316325426102, 'adv_toward': 0.9347341656684875, 'adv_away': 0.23679746687412262, 'def_total': 6.112519025802612, 'def_toward': 3.6144375801086426, 'def_away': 1.481842279434204, 'def_sft': 1.0162391662597656}"
79,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 0.9776360988616943}"
80,"{'adv_total': 0.028309987857937813, 'adv_toward': 0.021560033783316612, 'adv_away': 0.0067499540746212006, 'def_total': 14.233973026275635, 'def_toward': 6.180691242218018, 'def_away': 6.8557047843933105, 'def_sft': 1.1975769996643066}"
81,"{'adv_total': 0.3089456297457218, 'adv_toward': 0.27391543984413147, 'adv_away': 0.03503018990159035, 'def_total': 10.177444636821747, 'def_toward': 5.501626968383789, 'def_away': 3.8543269634246826, 'def_sft': 0.8214907050132751}"
82,"{'adv_total': 0.798520639538765, 'adv_toward': 0.6599236130714417, 'adv_away': 0.1385970264673233, 'def_total': 6.446860074996948, 'def_toward': 3.641050338745117, 'def_away': 1.924863338470459, 'def_sft': 0.8809463977813721}"
83,"{'adv_total': 0.9696269631385803, 'adv_toward': 0.9281263947486877, 'adv_away': 0.04150056838989258, 'def_total': 9.450445890426636, 'def_toward': 5.965753555297852, 'def_away': 1.8307193517684937, 'def_sft': 1.6539729833602905}"
84,"{'adv_total': 1.0646720081567764, 'adv_toward': 0.9174595475196838, 'adv_away': 0.1472124606370926, 'def_total': 5.971696853637695, 'def_toward': 3.3260130882263184, 'def_away': 1.6321476697921753, 'def_sft': 1.0135360956192017}"
85,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 0.6338686347007751}"
86,"{'adv_total': 0.00236395129468292, 'adv_toward': 0.0020037537906318903, 'adv_away': 0.0003601975040510297, 'def_total': 19.425200819969177, 'def_toward': 10.466715812683105, 'def_away': 8.156981468200684, 'def_sft': 0.8015035390853882}"
87,"{'adv_total': 0.043968049343675375, 'adv_toward': 0.03988879173994064, 'adv_away': 0.004079257603734732, 'def_total': 13.874162554740906, 'def_toward': 7.0306196212768555, 'def_away': 5.820053577423096, 'def_sft': 1.0234893560409546}"
88,"{'adv_total': 1.071796029806137, 'adv_toward': 0.9052596092224121, 'adv_away': 0.16653642058372498, 'def_total': 5.996110796928406, 'def_toward': 2.8142006397247314, 'def_away': 2.293210983276367, 'def_sft': 0.8886991739273071}"
89,"{'adv_total': 0.268290450097993, 'adv_toward': 0.2662085294723511, 'adv_away': 0.002081920625641942, 'def_total': 13.420052289962769, 'def_toward': 6.79217529296875, 'def_away': 3.9154069423675537, 'def_sft': 2.712470054626465}"
90,"{'adv_total': 1.2957916110754013, 'adv_toward': 1.1120747327804565, 'adv_away': 0.18371687829494476, 'def_total': 5.565654695034027, 'def_toward': 3.5536580085754395, 'def_away': 1.2349255084991455, 'def_sft': 0.7770711779594421}"
91,"{'adv_total': 2.1610213220119476, 'adv_toward': 1.776413917541504, 'adv_away': 0.3846074044704437, 'def_total': 2.859699994325638, 'def_toward': 1.8508021831512451, 'def_away': 0.5915805697441101, 'def_sft': 0.4173172414302826}"
92,"{'adv_total': 0.004668722860515118, 'adv_toward': 0.0026977660600095987, 'adv_away': 0.001970956800505519, 'def_total': 14.135353207588196, 'def_toward': 6.909369945526123, 'def_away': 6.611115455627441, 'def_sft': 0.6148678064346313}"
93,"{'adv_total': 0.033017098903656006, 'adv_toward': 0.025809111073613167, 'adv_away': 0.007207987830042839, 'def_total': 12.530226588249207, 'def_toward': 6.033833980560303, 'def_away': 5.170103549957275, 'def_sft': 1.3262890577316284}"
94,"{'adv_total': 0.300506629049778, 'adv_toward': 0.2089284360408783, 'adv_away': 0.09157819300889969, 'def_total': 8.797924876213074, 'def_toward': 4.384434223175049, 'def_away': 3.258338689804077, 'def_sft': 1.1551519632339478}"
95,"{'adv_total': 1.0919901132583618, 'adv_toward': 1.012210488319397, 'adv_away': 0.07977962493896484, 'def_total': 8.217003524303436, 'def_toward': 5.72784423828125, 'def_away': 1.8449114561080933, 'def_sft': 0.644247829914093}"
96,"{'adv_total': 1.2797294855117798, 'adv_toward': 1.1307438611984253, 'adv_away': 0.1489856243133545, 'def_total': 5.598898649215698, 'def_toward': 3.028165817260742, 'def_away': 1.4683769941329956, 'def_sft': 1.1023558378219604}"
97,"{'adv_total': 1.6941654682159424, 'adv_toward': 1.4298292398452759, 'adv_away': 0.2643362283706665, 'def_total': 2.92948155105114, 'def_toward': 2.106454610824585, 'def_away': 0.5738069415092468, 'def_sft': 0.24921999871730804}"
98,"{'adv_total': 0.008964285254478455, 'adv_toward': 0.008819326758384705, 'adv_away': 0.00014495849609375, 'def_total': 16.473016262054443, 'def_toward': 8.043170928955078, 'def_away': 7.211452484130859, 'def_sft': 1.2183928489685059}"
99,"{'adv_total': 0.02867420669645071, 'adv_toward': 0.018388088792562485, 'adv_away': 0.010286117903888226, 'def_total': 13.732381224632263, 'def_toward': 6.589353084564209, 'def_away': 5.621391296386719, 'def_sft': 1.5216368436813354}"
