epoch,losses
75,"{'adv_total': 0.046298894099891186, 'adv_toward': 0.030757855623960495, 'adv_away': 0.01554103847593069, 'def_total': 14.27513176202774, 'def_toward': 6.76828670501709, 'def_away': 6.661957263946533, 'def_sft': 0.8448877930641174}"
76,"{'adv_total': 1.1704336106777191, 'adv_toward': 1.0421037673950195, 'adv_away': 0.12832984328269958, 'def_total': 6.247691869735718, 'def_toward': 3.842146873474121, 'def_away': 1.5945920944213867, 'def_sft': 0.81095290184021}"
77,"{'adv_total': 0.07041978253982961, 'adv_toward': 0.06662268936634064, 'adv_away': 0.0037970931734889746, 'def_total': 12.723779559135437, 'def_toward': 6.3365254402160645, 'def_away': 5.665548324584961, 'def_sft': 0.7217057943344116}"
78,"{'adv_total': 1.364712506532669, 'adv_toward': 1.1882599592208862, 'adv_away': 0.17645254731178284, 'def_total': 5.2737812995910645, 'def_toward': 3.4336440563201904, 'def_away': 1.091019630432129, 'def_sft': 0.7491176128387451}"
79,"{'adv_total': 0.014041848946362734, 'adv_toward': 0.01354951225221157, 'adv_away': 0.0004923366941511631, 'def_total': 15.618111371994019, 'def_toward': 7.815192699432373, 'def_away': 7.011486053466797, 'def_sft': 0.7914326190948486}"
80,"{'adv_total': 1.211832270026207, 'adv_toward': 1.0191980600357056, 'adv_away': 0.1926342099905014, 'def_total': 5.819196283817291, 'def_toward': 3.603679895401001, 'def_away': 1.4329924583435059, 'def_sft': 0.7825239300727844}"
81,"{'adv_total': 0.2523527778685093, 'adv_toward': 0.21493010222911835, 'adv_away': 0.037422675639390945, 'def_total': 8.51405656337738, 'def_toward': 4.286233425140381, 'def_away': 3.5501763820648193, 'def_sft': 0.6776467561721802}"
82,"{'adv_total': 1.5858998149633408, 'adv_toward': 1.4390742778778076, 'adv_away': 0.14682553708553314, 'def_total': 5.346846103668213, 'def_toward': 3.6101033687591553, 'def_away': 1.133156180381775, 'def_sft': 0.6035865545272827}"
83,"{'adv_total': 0.07970089092850685, 'adv_toward': 0.06607933342456818, 'adv_away': 0.013621557503938675, 'def_total': 13.283638000488281, 'def_toward': 7.067805290222168, 'def_away': 4.878489017486572, 'def_sft': 1.337343692779541}"
84,"{'adv_total': 0.9780099987983704, 'adv_toward': 0.8385084271430969, 'adv_away': 0.13950157165527344, 'def_total': 6.304698824882507, 'def_toward': 3.1555917263031006, 'def_away': 1.8527213335037231, 'def_sft': 1.2963857650756836}"
85,"{'adv_total': 0.07607774203643203, 'adv_toward': 0.06971133500337601, 'adv_away': 0.006366407033056021, 'def_total': 12.122021853923798, 'def_toward': 6.063199520111084, 'def_away': 5.361015796661377, 'def_sft': 0.6978065371513367}"
