epoch,losses
62,"{'adv_total': 0.030065272469073534, 'adv_toward': 0.02454160712659359, 'adv_away': 0.005523665342479944, 'def_total': 14.478601098060608, 'def_toward': 6.666015625, 'def_away': 6.805217742919922, 'def_sft': 1.007367730140686}"
63,"{'adv_total': 0.010181518213357776, 'adv_toward': 0.009572445414960384, 'adv_away': 0.000609072798397392, 'def_total': 15.742627024650574, 'def_toward': 7.56856632232666, 'def_away': 7.186251640319824, 'def_sft': 0.9878090620040894}"
64,"{'adv_total': 0.04139355733059347, 'adv_toward': 0.038449786603450775, 'adv_away': 0.0029437707271426916, 'def_total': 14.060321748256683, 'def_toward': 7.11721658706665, 'def_away': 6.517230033874512, 'def_sft': 0.42587512731552124}"
65,"{'adv_total': 1.7401708513498306, 'adv_toward': 1.5688897371292114, 'adv_away': 0.1712811142206192, 'def_total': 4.854927897453308, 'def_toward': 2.1778366565704346, 'def_away': 1.2879916429519653, 'def_sft': 1.3890995979309082}"
66,"{'adv_total': 0.024037518072873354, 'adv_toward': 0.020750297233462334, 'adv_away': 0.0032872208394110203, 'def_total': 14.6012561917305, 'def_toward': 7.812678813934326, 'def_away': 5.916868209838867, 'def_sft': 0.8717091679573059}"
67,"{'adv_total': 1.7108682245016098, 'adv_toward': 1.5730160474777222, 'adv_away': 0.13785217702388763, 'def_total': 5.1435359716415405, 'def_toward': 3.280623197555542, 'def_away': 0.7367950677871704, 'def_sft': 1.1261177062988281}"
68,"{'adv_total': 0.6335364431142807, 'adv_toward': 0.5872437357902527, 'adv_away': 0.046292707324028015, 'def_total': 7.761009454727173, 'def_toward': 3.8078103065490723, 'def_away': 2.682166814804077, 'def_sft': 1.2710323333740234}"
69,"{'adv_total': 0.00933902757242322, 'adv_toward': 0.007173278369009495, 'adv_away': 0.002165749203413725, 'def_total': 15.47009265422821, 'def_toward': 6.852736949920654, 'def_away': 7.908653259277344, 'def_sft': 0.7087024450302124}"
70,"{'adv_total': 0.3680955749005079, 'adv_toward': 0.3418433964252472, 'adv_away': 0.026252178475260735, 'def_total': 9.086890757083893, 'def_toward': 4.813070297241211, 'def_away': 3.448664665222168, 'def_sft': 0.8251557946205139}"
71,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 1.0506130456924438}"
72,"{'adv_total': 0.07487678993493319, 'adv_toward': 0.06955884397029877, 'adv_away': 0.0053179459646344185, 'def_total': 13.29949289560318, 'def_toward': 6.342905521392822, 'def_away': 6.307273864746094, 'def_sft': 0.6493135094642639}"
73,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 1.994815707206726}"
74,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 0.681296706199646}"
75,"{'adv_total': 0.013445083983242512, 'adv_toward': 0.008283629082143307, 'adv_away': 0.005161454901099205, 'def_total': 14.526909351348877, 'def_toward': 6.440365791320801, 'def_away': 7.03861665725708, 'def_sft': 1.047926902770996}"
76,"{'adv_total': 1.362918235361576, 'adv_toward': 1.32415771484375, 'adv_away': 0.03876052051782608, 'def_total': 8.296626091003418, 'def_toward': 5.2780442237854, 'def_away': 1.5185842514038086, 'def_sft': 1.499997615814209}"
77,"{'adv_total': 2.115278512239456, 'adv_toward': 1.7053943872451782, 'adv_away': 0.40988412499427795, 'def_total': 3.928126186132431, 'def_toward': 1.9707918167114258, 'def_away': 0.3582296073436737, 'def_sft': 1.5991047620773315}"
78,"{'adv_total': 0.3389795050024986, 'adv_toward': 0.26780959963798523, 'adv_away': 0.0711699053645134, 'def_total': 9.341695725917816, 'def_toward': 4.980306148529053, 'def_away': 3.407322883605957, 'def_sft': 0.9540666937828064}"
79,"{'adv_total': 1.9639181718230247, 'adv_toward': 1.9048091173171997, 'adv_away': 0.05910905450582504, 'def_total': 4.434854656457901, 'def_toward': 3.37553334236145, 'def_away': 0.484864205121994, 'def_sft': 0.5744571089744568}"
80,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 1.0361416339874268}"
81,"{'adv_total': 1.3311073333024979, 'adv_toward': 1.1152275800704956, 'adv_away': 0.21587975323200226, 'def_total': 5.515310108661652, 'def_toward': 3.2165780067443848, 'def_away': 1.32240629196167, 'def_sft': 0.9763258099555969}"
82,"{'adv_total': 1.5998461619019508, 'adv_toward': 1.5487645864486694, 'adv_away': 0.0510815754532814, 'def_total': 8.650631546974182, 'def_toward': 6.273653984069824, 'def_away': 1.3425430059432983, 'def_sft': 1.0344345569610596}"
83,"{'adv_total': 0.010123440297320485, 'adv_toward': 0.006468477193266153, 'adv_away': 0.0036549631040543318, 'def_total': 13.819205224514008, 'def_toward': 6.444584846496582, 'def_away': 6.437450885772705, 'def_sft': 0.9371694922447205}"
84,"{'adv_total': 1.4273220598697662, 'adv_toward': 1.0860745906829834, 'adv_away': 0.34124746918678284, 'def_total': 4.369255781173706, 'def_toward': 2.4670557975769043, 'def_away': 0.9924473166465759, 'def_sft': 0.9097526669502258}"
