epoch,losses
57,"{'adv_total': 0.11331705865450203, 'adv_toward': 0.11028607934713364, 'adv_away': 0.0030309793073683977, 'def_total': 12.483147263526917, 'def_toward': 6.12608528137207, 'def_away': 5.009261608123779, 'def_sft': 1.347800374031067}"
58,"{'adv_total': 0.020360956783406436, 'adv_toward': 0.018818959593772888, 'adv_away': 0.0015419971896335483, 'def_total': 14.481016755104065, 'def_toward': 6.416353225708008, 'def_away': 6.915126800537109, 'def_sft': 1.1495367288589478}"
59,"{'adv_total': 0.07569548347964883, 'adv_toward': 0.06795158982276917, 'adv_away': 0.0077438936568796635, 'def_total': 14.344694197177887, 'def_toward': 8.083189964294434, 'def_away': 5.335438251495361, 'def_sft': 0.926065981388092}"
60,"{'adv_total': 0.06503721559420228, 'adv_toward': 0.05908041447401047, 'adv_away': 0.0059568011201918125, 'def_total': 12.103284895420074, 'def_toward': 5.356636047363281, 'def_away': 5.841203212738037, 'def_sft': 0.9054456353187561}"
61,"{'adv_total': 0.044739303179085255, 'adv_toward': 0.032870158553123474, 'adv_away': 0.01186914462596178, 'def_total': 11.062749147415161, 'def_toward': 5.3735785484313965, 'def_away': 4.759613037109375, 'def_sft': 0.9295575618743896}"
62,"{'adv_total': 0.021361888386309147, 'adv_toward': 0.014453615061938763, 'adv_away': 0.006908273324370384, 'def_total': 11.686660766601562, 'def_toward': 5.564694881439209, 'def_away': 5.1686625480651855, 'def_sft': 0.953303337097168}"
63,"{'adv_total': 0.15114425867795944, 'adv_toward': 0.12089370936155319, 'adv_away': 0.03025054931640625, 'def_total': 11.518518924713135, 'def_toward': 6.569508075714111, 'def_away': 4.061432838439941, 'def_sft': 0.887578010559082}"
64,"{'adv_total': 0.03545447764918208, 'adv_toward': 0.028895683586597443, 'adv_away': 0.006558794062584639, 'def_total': 12.216791272163391, 'def_toward': 6.055315017700195, 'def_away': 5.21589994430542, 'def_sft': 0.9455763101577759}"
65,"{'adv_total': 0.02534512896090746, 'adv_toward': 0.020131928846240044, 'adv_away': 0.005213200114667416, 'def_total': 13.831902742385864, 'def_toward': 6.086691379547119, 'def_away': 6.758239269256592, 'def_sft': 0.9869720935821533}"
66,"{'adv_total': 0.06781583372503519, 'adv_toward': 0.05243675783276558, 'adv_away': 0.015379075892269611, 'def_total': 12.066588640213013, 'def_toward': 5.674208641052246, 'def_away': 5.2786359786987305, 'def_sft': 1.1137440204620361}"
67,"{'adv_total': 0.04370095953345299, 'adv_toward': 0.03207281604409218, 'adv_away': 0.01162814348936081, 'def_total': 11.655137717723846, 'def_toward': 5.554333209991455, 'def_away': 5.288634777069092, 'def_sft': 0.8121697306632996}"
68,"{'adv_total': 0.37128495052456856, 'adv_toward': 0.32947853207588196, 'adv_away': 0.0418064184486866, 'def_total': 9.229346632957458, 'def_toward': 5.099620342254639, 'def_away': 3.229203701019287, 'def_sft': 0.9005225896835327}"
69,"{'adv_total': 0.029043729649856687, 'adv_toward': 0.025626149028539658, 'adv_away': 0.003417580621317029, 'def_total': 12.629805266857147, 'def_toward': 6.146899223327637, 'def_away': 5.499099254608154, 'def_sft': 0.9838067889213562}"
70,"{'adv_total': 0.10841122083365917, 'adv_toward': 0.07984143495559692, 'adv_away': 0.028569785878062248, 'def_total': 11.082785725593567, 'def_toward': 5.807474613189697, 'def_away': 4.276838779449463, 'def_sft': 0.9984723329544067}"
71,"{'adv_total': 0.05644739978015423, 'adv_toward': 0.03330446407198906, 'adv_away': 0.02314293570816517, 'def_total': 10.907248258590698, 'def_toward': 5.516824722290039, 'def_away': 4.497379302978516, 'def_sft': 0.8930442333221436}"
72,"{'adv_total': 0.31591570377349854, 'adv_toward': 0.18001064658164978, 'adv_away': 0.13590505719184875, 'def_total': 10.122773945331573, 'def_toward': 5.667964935302734, 'def_away': 3.6718666553497314, 'def_sft': 0.7829423546791077}"
73,"{'adv_total': 0.37411537766456604, 'adv_toward': 0.3021693527698517, 'adv_away': 0.07194602489471436, 'def_total': 8.449478447437286, 'def_toward': 4.053219318389893, 'def_away': 3.4305450916290283, 'def_sft': 0.9657140374183655}"
74,"{'adv_total': 0.053288254886865616, 'adv_toward': 0.033192966133356094, 'adv_away': 0.02009528875350952, 'def_total': 10.258395850658417, 'def_toward': 5.180761814117432, 'def_away': 4.288814067840576, 'def_sft': 0.7888199687004089}"
75,"{'adv_total': 0.08566590957343578, 'adv_toward': 0.06908053159713745, 'adv_away': 0.016585377976298332, 'def_total': 10.147023558616638, 'def_toward': 4.832458019256592, 'def_away': 4.572314739227295, 'def_sft': 0.7422508001327515}"
76,"{'adv_total': 0.12305552302859724, 'adv_toward': 0.12170040607452393, 'adv_away': 0.00135511695407331, 'def_total': 13.360126733779907, 'def_toward': 7.525946617126465, 'def_away': 4.82358455657959, 'def_sft': 1.0105955600738525}"
77,"{'adv_total': 0.2610428109765053, 'adv_toward': 0.13967515528202057, 'adv_away': 0.12136765569448471, 'def_total': 8.923886060714722, 'def_toward': 4.22982931137085, 'def_away': 3.6903271675109863, 'def_sft': 1.0037295818328857}"
78,"{'adv_total': 0.8497747629880905, 'adv_toward': 0.7827553749084473, 'adv_away': 0.06701938807964325, 'def_total': 5.6077117919921875, 'def_toward': 2.701382637023926, 'def_away': 1.6646718978881836, 'def_sft': 1.2416572570800781}"
79,"{'adv_total': 0.06426948681473732, 'adv_toward': 0.05553054064512253, 'adv_away': 0.008738946169614792, 'def_total': 11.087128102779388, 'def_toward': 5.902981281280518, 'def_away': 4.33777379989624, 'def_sft': 0.8463730216026306}"
80,"{'adv_total': 0.08650701539590955, 'adv_toward': 0.07978291809558868, 'adv_away': 0.006724097300320864, 'def_total': 10.873206615447998, 'def_toward': 5.935043811798096, 'def_away': 4.344635963439941, 'def_sft': 0.5935268402099609}"
81,"{'adv_total': 0.17018235009163618, 'adv_toward': 0.16096879541873932, 'adv_away': 0.009213554672896862, 'def_total': 10.921385288238525, 'def_toward': 5.953060150146484, 'def_away': 4.399372100830078, 'def_sft': 0.5689530372619629}"
82,"{'adv_total': 0.4838695302605629, 'adv_toward': 0.39091867208480835, 'adv_away': 0.09295085817575455, 'def_total': 8.63996571302414, 'def_toward': 5.150791645050049, 'def_away': 2.8388357162475586, 'def_sft': 0.650338351726532}"
83,"{'adv_total': 0.30946730077266693, 'adv_toward': 0.18984083831310272, 'adv_away': 0.11962646245956421, 'def_total': 8.713159203529358, 'def_toward': 4.363806247711182, 'def_away': 3.0583386421203613, 'def_sft': 1.291014313697815}"
